owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of Agriculture,Department of Agriculture,FY2023P12,012-1090,"Healthy Forests Reserve Program, Natural Resources Conservation Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,93,0,7000000,0,0,0,0,7000093,0,0,7000093,0,7000093,2023-11-17
Department of Agriculture,Department of Agriculture;Department of Transportation,FY2023P12,012-1103,"Capital Improvement and Maintenance, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,605074564.47,7561948.65,363558891,0,0,25424499.53,25424499.53,1001619903.65,387241416.16,7561948.65,614378487.49,231725267.39,1001619903.65,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1104,"Forest and Rangeland Research, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,130617634.23,2569265.05,349723000,0,0,25391443.9,25391443.9,508301343.18,377741995.59,6779265.05,130559347.59,326898181.11,508301343.18,2023-11-17
Department of Agriculture,Corps of Engineers - Civil Works;Department of Agriculture;Department of Defense;Department of the Interior,FY2023P12,012-1105,"State and Private Forestry, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,3240216263.76,11743715.05,780150487,0,0,106954021.66,106954021.66,4139064487.47,1098244958.39,14757920.42,3040819529.08,400191768.81,4139064487.47,2024-01-30
Department of Agriculture,Department of Agriculture;Department of the Interior,FY2023P12,012-1106,"National Forest System, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,1403649314.51,48200803.96,2596953773,0,0,79913950.86,79913950.86,4128717842.33,3160297159.29,33638159.96,968420683.04,2408254859,4128717842.33,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1115,"Wildland Fire Management, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,2473466397.78,188238829.36,3650189421,0,0,27281018.13,27281018.13,6339175666.27,4909909740.25,194769829.36,1429265926.02,3782569910.42,6339175666.27,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1117,"Payments to States, Northern Spotted Owl Guarantee, Forest Service, Agriculture",Department of Agriculture,General Government,General purpose fiscal assistance,15.66,0,111200000,0,0,0,0,111200015.66,111200000,0,15.66,111200000,111200015.66,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1119,"Management of National Forest Lands for Subsistence Uses, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,80618.8,810.28,1099000,0,0,0,0,1180429.08,1096802.35,810.28,83626.73,942810.31,1180429.08,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1121,"Wildfire Suppression Operations Reserve Fund, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,1570000000,0,1105000000,0,0,0,0,2675000000,0,0,2675000000,0,2675000000,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1122,"Forest Service Operations, Forest Service, Agriculture",Department of Agriculture,Natural Resources and Environment,Conservation and land management,211612276.37,36492009.81,1226159299,0,0,3101957.34,3101957.34,1477365542.52,1363014194.9,22442009.81,114351347.62,1250831266.53,1477365542.52,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1124,"Assistance for Farmers and Ranchers Account, Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,250000000,0,250000000,0,0,0,0,500000000,250000000,0,250000000,242378237.66,500000000,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1140,"Agricultural Credit Insurance Fund Program Account,  Farm Service Agency, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,3188032007.45,944474.79,333091510,0,0,0,0,3522067992.24,2404727551.51,2237917.57,1117340440.73,2299648764.57,3522067992.24,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1230,"Rural Electrification and Telecommunications Loans Program Account, Rural Utilities Service, Agriculture",Department of Agriculture,Energy,Energy supply,10738406986.24,-2034383.5,1252993140.35,0,0,0,0,11989365743.09,1280176591.95,715616.5,10709189151.14,1244076995.03,11989365743.09,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1231,"Rural Telephone Bank Program Account, Rural Utilities Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,0,0,2307771,0,0,0,0,2307771,2307771,0,0,2307771,2307771,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1232,"Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,2320730220.88,42038084.11,465916157.67,0,0,0,0,2828684462.66,1674859264.32,58556084.11,1153825198.34,193860380.61,2828684462.66,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1336,"Commodity Credit Corporation Export Loans Program Account, Foreign Agricultural Service, Agriculture",Department of Agriculture,Agriculture,Farm income stabilization,1184019.19,-427738.84,36036679.52,0,0,0,0,36792959.87,36063116.97,26613.86,729842.9,35686161.36,36792959.87,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1400,"Salaries and Expenses, Agricultural Research Service, Agricullture",Department of Agriculture,Agriculture,Agricultural research and services,142280200.34,268481295.35,1744779000,0,0,180273254.2,180273254.2,2335813749.89,2171812205.69,273440452.94,164001544.2,1819499156.16,2335813749.89,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1401,"Buildings and Facilities, Agricultural Research Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,61441186.75,1447634.79,132297000,0,0,0,0,195185821.54,48360243.24,1447634.79,146825578.3,94904907.47,195185821.54,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1500,"Research and Education Activities, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,868210266.98,34270419.02,1099121000,0,0,16236251.75,16236251.75,2017837937.75,1547120818.58,35600073.19,470717119.17,985707816.94,2017837937.75,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1501,"Buildings and Facilities, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,538386.36,0,0,0,0,0,0,538386.36,0,0,538386.36,0,538386.36,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1502,"Integrated Activities, National Institute of Food and Agriculture, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,29122782.63,2903865.3,164090000,0,0,0,0,196116647.93,186470553.1,2903865.3,9646094.83,133482837.57,196116647.93,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1600,"Salaries and Expenses, Animal and Plant Health Inspection Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,1380635360.98,39490239.76,1650033086,0,0,293597095.52,293597095.52,3363755782.26,2145198035.14,40606903.73,1218557747.12,1864489056.3,3363755782.26,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1601,"Buildings and Facilities, Animal and Plant Health Inspection Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,29086755.35,569344.14,3175000,0,0,0,0,32831099.49,4631936.32,569344.14,28199163.17,5990996.15,32831099.49,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1701,"Economic Research Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,9045207.14,2929537.27,92612000,0,0,5872488,5872488,110459232.41,101914980.44,4063659.22,8544251.97,106569341.2,110459232.41,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1801,"National Agricultural Statistics Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,486171.7,17508626.48,211076000,0,0,38011408.81,38011408.81,267082206.99,261724079.88,17509626.48,5358127.11,231225976.06,267082206.99,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1900,"Rural Cooperative Development Grants, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,16996862.72,2518560.37,45598863.43,0,0,0,0,65114286.52,50841230.19,2803367.7,14273056.33,58004286.87,65114286.52,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1902,"Rural Business Program Account, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,9132232.32,10478679.71,151682819.26,0,0,0,0,171293731.29,164600095.19,10478679.71,6693636.1,146441317.41,171293731.29,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1907,"Rural Business Investment Program Account, Rural Business - Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,2092473,0,18205,0,0,0,0,2110678,18205,0,2092473,18205,2110678,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1908,"Rural Energy for America Program, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Community development,984015530.55,12291285.06,259275695,0,0,0,0,1255582510.61,486015179.87,12319383.56,769567330.74,53257533.4,1255582510.61,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1951,"Rural Community Facilities Program Account, Rural Housing Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,347765136.08,50677804.88,567314325.11,0,0,0,0,965757266.07,524199133.63,50677804.88,441558132.44,334619713.4,965757266.07,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1953,"Expenses, Rural Housing Assistance Grants, Rural Housing Service, Agriculture",Department of Agriculture,Income Security,Housing assistance,31722601.26,2965520.38,111000000,0,0,0,0,145688121.64,62433229.13,2965520.38,83254892.51,48969910.33,145688121.64,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1955,"Rural Microentrepreneur Assistance Program, Rural Business-Cooperative Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,3718629.22,531105.71,5317927,0,0,0,0,9567661.93,4160710,531105.71,5406951.93,3511877.46,9567661.93,2023-11-17
Department of Agriculture,Department of Agriculture,FY2023P12,012-1980,"Rural Water and Waste Disposal Program Account, Rural Utilities Service, Agriculture",Department of Agriculture,Community and Regional Development,Area and regional development,92248417.23,80616594.07,1165636123.71,0,0,0,0,1338501135.01,951708344.21,86865594.07,386792790.8,856194274.7,1338501135.01,2023-11-17
